QUEST_LV_0400_00000000_000000	UTF-8-DOM問題迴避用
QUEST_LV_0400_20161005_000001	凱都拉商團員艾達
QUEST_LV_0400_20161005_000002	因為擔心才過來的，但實在不想自己一個人進到那裡面去，{nl}所以我才這麼拜託你的。
QUEST_LV_0400_20161005_000003	又不知道裡面有什麼，怎麼進去呢？{nl}還有那些怪物...
QUEST_LV_0400_20161005_000004	難民之間流傳著一個阿爾蘭必傳說，{nl}我想確認那傳說的真實性。
QUEST_LV_0400_20161005_000005	{nl}裡面說不定會有商團想要的物品...{nl}你如果要在這洞穴裡探險的話，就順便幫我找一下傭兵團，這對你我都有好處嘛。
QUEST_LV_0400_20161005_000006	{nl}這本書送你。{nl}別什麼都不知道就進去，這本書應該對你會有點幫助。
QUEST_LV_0400_20161005_000007	祭司林塔斯正在修改紀念碑的內容。{nl}作業時間變長了。
QUEST_LV_0400_20161005_000008	托你的福，修正完紀念碑了。{nl}現在是該掌握一下祭司奇達斯和布魯納斯的進行狀況了。
QUEST_LV_0400_20161005_000009	雖然得到幫助，卻還是找不著造箭者之箭。{nl}先整理好這邊的事情，回到師父那去吧。
QUEST_LV_0400_20161005_000010	亞奎爾拉斯
QUEST_LV_0400_20161005_000011	為了學習箭術，才跟著來到這裡，但師父什麼都不教我，只會要我找弓箭...{nl}要是知道只是要來找弓箭的，我才不會選這麼辛苦的路哩...{nl}
QUEST_LV_0400_20161005_000012	利迪亞夏班也是。{nl}既然用那造箭者之箭還什麼的殺了集布理納斯，怎麼不把弓箭收走，就這麼丟著？
QUEST_LV_0400_20161005_000013	{nl}是傳說般的人物，受人敬仰，又有什麼用？{nl}連自己的東西都不好好愛惜了。
QUEST_LV_0400_20161005_000014	{nl}我也搞不懂師父在想什麼。{nl}難道找到那造箭者之箭還什麼的，就能獲得原諒了嗎？
QUEST_LV_0400_20161005_000015	{nl}就算退一百步想...不去找弓箭，卻要人報告植物生長狀況，我真的很無法理解。{nl}啊...好不想做啊。
QUEST_LV_0400_20161005_000016	你肯幫忙，我當然是好啊。{nl}先幫忙蒐集波皮蕨、愛爾力草和弗里亞花瓣。
QUEST_LV_0400_20161005_000017	{nl}你問這和傳說中的弓箭有什麼關係？{nl}這我也很想知道。
QUEST_LV_0400_20161005_000018	造箭者之箭還是什麼的真是..
QUEST_LV_0400_20161005_000019	梅坎
QUEST_LV_0400_20161005_000020	我還以為你是來看亞奎爾拉斯的...{nl}這個地方不只有怪物，還有魔族出沒，是個危險的地方。
QUEST_LV_0400_20161005_000021	{nl}若沒什麼事請你離..
QUEST_LV_0400_20161005_000022	{nl}啊..?{nl}喔，原來是啟示者啊。
QUEST_LV_0400_20161005_000023	{nl}你好像很好奇我跟我的弟子在這個地方做些什麼。{nl}不曉得你是否聽亞奎爾拉斯說過...
QUEST_LV_0400_20161005_000024	{nl}我是星之塔的團員，也是星之塔前團長的親生弟弟。{nl}我在依克拉斯掌控星之塔的過程當中，犯下了失誤。
QUEST_LV_0400_20161005_000025	{nl}而依克拉斯沒放過我的失誤，並且掌控了星之塔。{nl}因為如此，星之塔的團員當然對我有不好的觀感。
QUEST_LV_0400_20161005_000026	{nl}即便我表明了我不是故意的，但團員們不肯聽我解釋，和我斷絕關係。
QUEST_LV_0400_20161005_000027	{nl}我試著找出能挽回我失誤的方法...{nl}後來決定尋找利迪亞夏班的傳承物之一－造箭者之箭。
QUEST_LV_0400_20161005_000028	{nl}因為只要我能找到造箭者之箭，團員們就會願意聽我說了。{nl}在經過幾番調查之後...我判斷造箭者之箭在集布理納斯森林裡的可能性相當高。
QUEST_LV_0400_20161005_000029	{nl}所以我帶著弟子們四處尋找造箭者之箭，卻沒什麼進展。
QUEST_LV_0400_20161005_000030	收集來了啊。{nl}謝謝。
QUEST_LV_0400_20161005_000031	{nl}叫我們做這些事的師父就在營地裡，如果你想知道為什麼要找這種東西，就去問他吧。
QUEST_LV_0400_20161005_000032	{nl}那麼我就要來好好端詳這些看起來沒什麼特別的東西，有什麼特異之處了。
