QUEST_LV_0400_20161118_000001	凱都拉商團員艾達
QUEST_LV_0400_20161118_000002	因為擔心才過來的，但實在不想自己一個人進到那裡面去，{nl}所以我才這麼拜託你的。
QUEST_LV_0400_20161118_000003	又不知道裡面有什麼，怎麼進去呢？{nl}還有那些怪物...
QUEST_LV_0400_20161118_000004	難民之間流傳著一個阿爾蘭必傳說，{nl}我想確認那傳說的真實性。
QUEST_LV_0400_20161118_000005	{nl}裡面說不定會有商團想要的物品...{nl}你如果要在這洞穴裡探險的話，就順便幫我找一下傭兵團，這對你我都有好處嘛。
QUEST_LV_0400_20161118_000006	{nl}這本書送你。{nl}別什麼都不知道就進去，這本書應該對你會有點幫助。
QUEST_LV_0400_20161118_000007	祭司 林塔斯
QUEST_LV_0400_20161118_000008	祭司林塔斯正在修改紀念碑的內容。{nl}作業時間變長了。
QUEST_LV_0400_20161118_000009	托你的福，修正完紀念碑了。{nl}現在是該掌握一下祭司奇達斯和布魯納斯的進行狀況了。
QUEST_LV_0400_20161118_000010	烏格尼斯
QUEST_LV_0400_20161118_000011	雖然得到幫助，卻還是找不著造箭者之箭。{nl}先整理好這邊的事情，回到師父那去吧。
QUEST_LV_0400_20161118_000012	亞奎爾拉斯
QUEST_LV_0400_20161118_000013	為了學習箭術，才跟著來到這裡，但師父什麼都不教我，只會要我找弓箭...{nl}要是知道只是要來找弓箭的，我才不會選這麼辛苦的路哩...{nl}
QUEST_LV_0400_20161118_000014	利迪亞夏班也是。{nl}既然用那造箭者之箭還什麼的殺了集布理納斯，怎麼不把弓箭收走，就這麼丟著？
QUEST_LV_0400_20161118_000015	{nl}是傳說般的人物，受人敬仰，又有什麼用？{nl}連自己的東西都不好好愛惜了。
QUEST_LV_0400_20161118_000016	{nl}我也搞不懂師父在想什麼。{nl}難道找到那造箭者之箭還什麼的，就能獲得原諒了嗎？
QUEST_LV_0400_20161118_000017	{nl}就算退一百步想...不去找弓箭，卻要人報告植物生長狀況，我真的很無法理解。{nl}啊...好不想做啊。
QUEST_LV_0400_20161118_000018	你肯幫忙，我當然是好啊。{nl}先幫忙蒐集波皮蕨、愛爾力草和弗里亞花瓣。
QUEST_LV_0400_20161118_000019	{nl}你問這和傳說中的弓箭有什麼關係？{nl}這我也很想知道。
QUEST_LV_0400_20161118_000020	造箭者之箭還是什麼的真是..
QUEST_LV_0400_20161118_000021	梅坎
QUEST_LV_0400_20161118_000022	我還以為你是來看亞奎爾拉斯的...{nl}這個地方不只有怪物，還有魔族出沒，是個危險的地方。
QUEST_LV_0400_20161118_000023	{nl}若沒什麼事請你離..
QUEST_LV_0400_20161118_000024	{nl}啊..?{nl}喔，原來是啟示者啊。
QUEST_LV_0400_20161118_000025	{nl}你好像很好奇我跟我的弟子在這個地方做些什麼。{nl}不曉得你是否聽亞奎爾拉斯說過...
QUEST_LV_0400_20161118_000026	{nl}我是星之塔的團員，也是星之塔前團長的親生弟弟。{nl}我在依克拉斯掌控星之塔的過程當中，犯下了失誤。
QUEST_LV_0400_20161118_000027	{nl}而依克拉斯沒放過我的失誤，並且掌控了星之塔。{nl}因為如此，星之塔的團員當然對我有不好的觀感。
QUEST_LV_0400_20161118_000028	{nl}即便我表明了我不是故意的，但團員們不肯聽我解釋，和我斷絕關係。
QUEST_LV_0400_20161118_000029	{nl}我試著找出能挽回我失誤的方法...{nl}後來決定尋找利迪亞夏班的傳承物之一－造箭者之箭。
QUEST_LV_0400_20161118_000030	{nl}因為只要我能找到造箭者之箭，團員們就會願意聽我說了。{nl}在經過幾番調查之後...我判斷造箭者之箭在集布理納斯森林裡的可能性相當高。
QUEST_LV_0400_20161118_000031	{nl}所以我帶著弟子們四處尋找造箭者之箭，卻沒什麼進展。
QUEST_LV_0400_20161118_000032	收集來了啊。{nl}謝謝。
QUEST_LV_0400_20161118_000033	{nl}叫我們做這些事的師父就在營地裡，如果你想知道為什麼要找這種東西，就去問他吧。
QUEST_LV_0400_20161118_000034	{nl}那麼我就要來好好端詳這些看起來沒什麼特別的東西，有什麼特異之處了。
QUEST_LV_0400_20161118_000035	嗯...雖然非常感謝你，但這地方魔族四竄，是很危險。{nl}比起你直接去找，我更希望你能幫我掌握一下我弟子們的搜查狀況。
QUEST_LV_0400_20161118_000036	{nl}烏格尼斯在比爾卡斯的棲息地，傑諾納斯則在凱依內渡口。
QUEST_LV_0400_20161118_000037	額啊嚇我一跳，你是誰？
QUEST_LV_0400_20161118_000038	{nl}搜查狀況？{nl}現在別說是要我搜查了，連到附近去都覺得可怕。
QUEST_LV_0400_20161118_000039	{nl}那裡就是比爾卡斯的主要棲息地了，要怎麼自己去？{nl}如果能披上比爾卡斯的毛，說不定會好一點...
QUEST_LV_0400_20161118_000040	在棲息地附近捉比爾卡斯，對我們來說反而危險。{nl}奇勒巴空地那的比爾卡斯數量不輸這裡。
QUEST_LV_0400_20161118_000041	{nl}請從那地方收集來比爾卡斯之毛。
QUEST_LV_0400_20161118_000042	奇勒巴空地有許多比爾卡斯，應該能順利蒐集到比爾卡斯的毛。
QUEST_LV_0400_20161118_000043	有這麼多，怪物也會把天敵當作同伴的。
QUEST_LV_0400_20161118_000044	現在，利用比爾卡斯的毛，來搜查那些傢伙的巢穴吧。{nl}雖然棲息地相當廣闊，搜查起來應該會有點辛苦...
QUEST_LV_0400_20161118_000045	既然你說要幫我，我當然沒理由拒絕。{nl}走吧。
QUEST_LV_0400_20161118_000046	我看過的地方都沒有造箭者之箭。{nl}你有找到什麼嗎？
QUEST_LV_0400_20161118_000047	{nl}啊，好..{nl}沒有啊..
QUEST_LV_0400_20161118_000048	結果我的搜查狀況就是原地踏步而已。{nl}你說過師父想要透過你來掌握我們的搜查狀況對吧？
QUEST_LV_0400_20161118_000049	{nl}除了我之外，師父還收了兩名徒弟。{nl}一個是亞奎爾拉斯，一個是傑諾納斯。
QUEST_LV_0400_20161118_000050	{nl}亞奎爾拉斯在前往帕馬勒森林的路上，傑諾納斯則在凱依內渡口那。{nl}既然你已經見過亞奎爾拉斯...那就去找傑諾納斯吧。
QUEST_LV_0400_20161118_000051	我稍微收拾一下就會回去找師傅。
QUEST_LV_0400_20161118_000052	傑諾納斯
QUEST_LV_0400_20161118_000053	真是謝謝你。{nl}要不是有你，我就被羅裴努卡成功襲擊了。
QUEST_LV_0400_20161118_000054	是的，沒錯。{nl}我在找造箭者之箭。
QUEST_LV_0400_20161118_000055	{nl}不過如果這樣找就能找到東西的話，早就被人給拿走了吧。{nl}真是徒勞無功。
QUEST_LV_0400_20161118_000056	{nl}而且還有魔族，連生命安全都受到威脅。{nl}我真的無法理解師父這次的指示。
QUEST_LV_0400_20161118_000057	{nl}該去追究一下了。
QUEST_LV_0400_20161118_000058	要找出那個不知道在哪裡的弓箭，我想大家都很累。{nl}更何況還是在這種魔族肆虐的地方...
QUEST_LV_0400_20161118_000059	{nl}都是我的不足害的。
QUEST_LV_0400_20161118_000060	造箭者之箭是由現在造箭者大師的祖先製作而成，並交給利迪亞夏班的。{nl}難道我就不想跟造箭者大師談嗎？
QUEST_LV_0400_20161118_000061	{nl}不過...不管是造箭者大師...還是星之塔的團員，都認爲我是叛徒，不會願意幫助我的。{nl}所以我也不抱期待...
QUEST_LV_0400_20161118_000062	雖然很感謝你願意這樣為我出頭...{nl}但就算請求幫助，也沒有用的。
QUEST_LV_0400_20161118_000063	{nl}不過你也不用太失望。{nl}造箭者大師就在女神的古院裡。
QUEST_LV_0400_20161118_000064	造箭者大師
QUEST_LV_0400_20161118_000065	梅坎說要我幫他找造箭者之箭？{nl}你知道他是什麼樣的人，還這樣拜託我嗎？
QUEST_LV_0400_20161118_000066	{nl}他能找到造箭者之箭並還給我的話，我倒是願意幫他。{nl}不過找到造箭者之箭後，他一定會露出真面目，將它佔為己有的。
QUEST_LV_0400_20161118_000067	若是會做到那地步，那我會相信你看看。
QUEST_LV_0400_20161118_000068	{nl}這裝置是能探測造箭者之箭位置的製作書。{nl}把這個拿去給梅坎吧。
QUEST_LV_0400_20161118_000069	他在女神的古院。{nl}這會是趟漫長的旅程...
QUEST_LV_0400_20161118_000070	他將探測造箭者之箭的製作書交給你？
QUEST_LV_0400_20161118_000071	{nl}他怎麼會想要幫我呢？
QUEST_LV_0400_20161118_000072	{nl}啊.. 
QUEST_LV_0400_20161118_000073	{nl}原來如此。{nl}原來是聽到如果我不交出造箭者之箭就要交出人頭的話，才肯幫我的啊。
QUEST_LV_0400_20161118_000074	{nl}不會有我要交出人頭的狀況發生的。{nl}我就來讀看看這本製作書吧。
QUEST_LV_0400_20161118_000075	梅坎是將星之塔團長，也就是他親哥哥，趕下團長之位的大功臣。
QUEST_LV_0400_20161118_000076	{nl}那種人怎麼人相信。
QUEST_LV_0400_20161118_000077	據說造箭者之箭是由女神的神聖之力所造。{nl}製作書上寫說它會對魔族的魔力有所反應，所以我們需要魔族的魔力。
QUEST_LV_0400_20161118_000078	我向弟子們下達了找來魔族魔力的指示，但我擔心他們辦不辦得到。
QUEST_LV_0400_20161118_000079	你蒐集了很多呢。{nl}那麼現在需要的就是...
QUEST_LV_0400_20161118_000080	製作書上說，需要能夠控制魔族魔力的比爾卡斯的精髓。
